block	blockTrNum	totalTrNum	direction	coherence	colour	correctResponse
1	1	1	1	1	1	1
1	2	2	4	1	1	1
1	3	3	2	1	4	2
1	4	4	3	1	1	2
1	5	5	1	1	4	1
1	6	6	4	1	3	1
1	7	7	2	1	1	2
1	8	8	3	1	2	2
1	9	9	1	2	3	1
1	10	10	4	2	3	1
1	11	11	2	2	3	2
1	12	12	3	2	3	2
1	13	13	1	2	2	1
1	14	14	4	2	3	1
1	15	15	2	2	4	2
1	16	16	3	2	1	2
1	17	17	1	3	1	1
1	18	18	4	3	2	1
1	19	19	2	3	1	2
1	20	20	3	3	3	2
1	21	21	1	3	4	1
1	22	22	4	3	2	1
1	23	23	2	3	4	2
1	24	24	3	3	3	2
1	25	25	1	4	1	1
1	26	26	4	4	2	1
1	27	27	2	4	1	2
1	28	28	3	4	4	2
1	29	29	1	4	2	1
1	30	30	4	4	1	1
1	31	31	2	4	2	2
1	32	32	3	4	4	2
1	33	33	1	5	2	1
1	34	34	4	5	2	1
1	35	35	2	5	4	2
1	36	36	3	5	2	2
1	37	37	1	5	1	1
1	38	38	4	5	3	1
1	39	39	2	5	1	2
1	40	40	3	5	4	2
1	41	41	1	6	4	1
1	42	42	4	6	1	1
1	43	43	2	6	1	2
1	44	44	3	6	4	2
1	45	45	1	6	2	1
1	46	46	4	6	4	1
1	47	47	2	6	3	2
1	48	48	3	6	4	2
1	49	49	1	1	1	1
1	50	50	4	1	4	1
1	51	51	2	1	3	2
1	52	52	3	1	4	2
1	53	53	1	1	4	1
1	54	54	4	1	3	1
1	55	55	2	1	2	2
1	56	56	3	1	4	2
1	57	57	1	2	1	1
1	58	58	4	2	2	1
1	59	59	2	2	4	2
1	60	60	3	2	4	2
1	61	61	1	2	4	1
1	62	62	4	2	4	1
1	63	63	2	2	3	2
1	64	64	3	2	2	2
1	65	65	1	3	2	1
1	66	66	4	3	1	1
1	67	67	2	3	1	2
1	68	68	3	3	1	2
1	69	69	1	3	1	1
1	70	70	4	3	3	1
1	71	71	2	3	3	2
1	72	72	3	3	3	2
1	73	73	1	4	3	1
1	74	74	4	4	3	1
1	75	75	2	4	3	2
1	76	76	3	4	2	2
1	77	77	1	4	3	1
1	78	78	4	4	3	1
1	79	79	2	4	2	2
1	80	80	3	4	2	2
1	81	81	1	5	2	1
1	82	82	4	5	4	1
